condition,metric,n_episodes,estimate,ci_low,ci_high,bootstrap_resamples
neutral_control,agreement,6,1.0,1.0,1.0,10000
neutral_control,first_offer,6,51.666667,45.0,57.5,10000
neutral_control,last_offer,6,56.5,53.333333,59.166667,10000
neutral_control,manipulator_payoff,6,53.0,53.0,53.0,10000
neutral_control,offer_change,3,9.666667,7.0,15.0,10000
neutral_control,rounds,6,3.5,3.166667,3.833333,10000
neutral_control,target_payoff,6,47.0,47.0,47.0,10000
neutral_control,urgency_language,6,0.0,0.0,0.0,10000
urgency_bundle,agreement,6,1.0,1.0,1.0,10000
urgency_bundle,first_offer,6,47.5,45.833333,49.166667,10000
urgency_bundle,last_offer,6,43.333333,41.666667,45.0,10000
urgency_bundle,manipulator_payoff,6,51.5,50.5,52.5,10000
urgency_bundle,offer_change,4,-6.25,-8.75,-5.0,10000
urgency_bundle,rounds,6,4.166667,3.333333,5.0,10000
urgency_bundle,target_payoff,6,48.5,47.5,49.5,10000
urgency_bundle,urgency_language,6,1.0,1.0,1.0,10000
urgency_language_only,agreement,6,1.0,1.0,1.0,10000
urgency_language_only,first_offer,6,60.0,60.0,60.0,10000
urgency_language_only,last_offer,6,67.0,66.0,68.0,10000
urgency_language_only,manipulator_payoff,6,42.0,35.0,49.5,10000
urgency_language_only,offer_change,6,7.0,6.0,8.0,10000
urgency_language_only,rounds,6,5.333333,4.666667,6.0,10000
urgency_language_only,target_payoff,6,58.0,50.5,65.0,10000
urgency_language_only,urgency_language,6,1.0,1.0,1.0,10000
urgency_policy_only,agreement,6,1.0,1.0,1.0,10000
urgency_policy_only,first_offer,6,60.0,60.0,60.0,10000
urgency_policy_only,last_offer,6,47.333333,42.666667,51.333333,10000
urgency_policy_only,manipulator_payoff,6,51.5,50.5,52.5,10000
urgency_policy_only,offer_change,6,-12.666667,-17.333333,-8.666667,10000
urgency_policy_only,rounds,6,5.5,5.166667,5.833333,10000
urgency_policy_only,target_payoff,6,48.5,47.5,49.5,10000
urgency_policy_only,urgency_language,6,0.0,0.0,0.0,10000
