condition,games,agreement_rate,mean_rounds,manipulator_payoff,target_payoff,mean_first_offer,mean_last_offer,mean_offer_change,target_detection_rate,urgency_language_rate,model_error_moves
neutral_control,24,1.0,6.958333333333333,49.916666666666664,50.083333333333336,49.416666666666664,53.291666666666664,3.875,0.0,0.08333333333333333,0
urgency_bundle,24,1.0,7.583333333333333,51.458333333333336,48.541666666666664,51.75,46.458333333333336,-5.291666666666667,0.0,1.0,0
urgency_language_only,24,1.0,6.625,49.708333333333336,50.291666666666664,54.958333333333336,56.166666666666664,1.3181818181818181,0.0,0.9166666666666666,0
urgency_policy_only,24,1.0,6.541666666666667,50.375,49.625,53.095238095238095,47.666666666666664,-5.428571428571429,0.0,0.041666666666666664,0
