condition,games,agreement_rate,mean_rounds,manipulator_payoff,target_payoff,mean_first_offer,mean_last_offer,mean_offer_change,target_detection_rate,urgency_language_rate,model_error_moves
neutral_control,24,1.0,6.5,50.416666666666664,49.583333333333336,49.52173913043478,53.26086956521739,3.739130434782609,0.0,0.0,0
urgency_bundle,24,1.0,7.083333333333333,50.333333333333336,49.666666666666664,52.125,45.916666666666664,-6.208333333333333,0.0,1.0,0
urgency_language_only,24,1.0,6.958333333333333,49.333333333333336,50.666666666666664,55.208333333333336,55.375,0.17391304347826086,0.0,0.9583333333333334,0
urgency_policy_only,24,1.0,6.208333333333333,50.791666666666664,49.208333333333336,53.095238095238095,49.23809523809524,-3.857142857142857,0.0,0.08333333333333333,0
