condition,games,mean_investment,mean_return_rate,first_half_return_rate,second_half_return_rate,return_rate_change,high_investment_exploitation_rate,manipulator_payoff,target_payoff,profile_language_rate,model_error_moves
false_reliability_bundle,18,75.22777777777777,0.42301666666666665,0.4283666666666667,0.41766666666666663,-0.010700000000000022,0.023809523809523808,129.19444444444446,121.2611111111111,1.0,0
neutral_control,18,78.36666666666666,0.43581000000000003,0.43304444444444445,0.43857555555555555,0.005531111111111116,0.0,132.36111111111111,124.3722222222222,0.9444444444444444,0
opportunistic_policy_only,18,75.66111111111111,0.4388444444444445,0.44277444444444447,0.43491444444444444,-0.007860000000000006,0.0,127.09444444444443,124.22777777777777,0.8333333333333334,0
reliability_language_only,18,80.44999999999999,0.4493366666666667,0.44344666666666666,0.45522666666666667,0.011780000000000016,0.0,132.3777777777778,128.52222222222224,1.0,0
