condition,games,agreement_rate,mean_rounds,manipulator_payoff,target_payoff,mean_first_offer,mean_last_offer,mean_offer_change,target_detection_rate,urgency_language_rate,model_error_moves
neutral_control,24,1.0,7.0,50.166666666666664,49.833333333333336,50.0,53.625,3.625,0.0,0.041666666666666664,0
urgency_bundle,24,1.0,7.625,50.125,49.875,51.958333333333336,45.666666666666664,-6.291666666666667,0.0,1.0,0
urgency_language_only,24,1.0,6.833333333333333,48.541666666666664,51.458333333333336,55.583333333333336,56.333333333333336,0.782608695652174,0.0,0.875,0
urgency_policy_only,24,1.0,6.375,50.5,49.5,53.0,48.45,-4.55,0.0,0.08333333333333333,0
