condition,games,mean_investment,mean_return_rate,first_half_return_rate,second_half_return_rate,return_rate_change,high_investment_exploitation_rate,manipulator_payoff,target_payoff,profile_language_rate,model_error_moves
false_reliability_bundle,6,77.11666666666666,0.4339,0.4302266666666667,0.43757333333333337,0.0073466666666666585,0.023809523809523808,129.58333333333334,124.64999999999999,1.0,0
neutral_control,6,80.33333333333333,0.4384316666666667,0.43889666666666666,0.43796666666666667,-0.0009299999999999956,0.0,135.38333333333333,125.28333333333335,0.8333333333333334,0
opportunistic_policy_only,6,76.81666666666666,0.43074166666666663,0.4365133333333333,0.42497,-0.01154333333333335,0.0,130.21666666666667,123.41666666666667,1.0,0
reliability_language_only,6,80.23333333333333,0.454715,0.4484033333333333,0.4610266666666667,0.012623333333333339,0.0,130.61666666666667,129.85,1.0,0
